"target","match"
"Ash","Ash"
"Basswood","Other hardwood"
"Beech","Beech"
"Birch","Birch"
"Cherry","Other hardwood"
"Dogwood","Other hardwood"
"Elm","Elm"
"Fir","Other conifer"
"Hemlock","Hemlock"
"Hickory","Other hardwood"
"Ironwood","Other hardwood"
"Maple","Maple"
"Oak","Oak"
"Pine","Pine"
"Spruce","Spruce"
"Tamarack","Tamarack"
"Walnut","Other hardwood"
"Other hardwood","Other hardwood"
"Black gum/sweet gum","Other hardwood"
"Cedar/juniper","Other conifer"
"Poplar/tulip poplar","Other hardwood"
